attract_gain,drone_repel_gain,drone_repel_range,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,2.0,4.0,closed_33,2,0,0.4273356401384083,0.0,2485,242424.00000000003,706.7000000000921,0.010014182516804276
1.0,2.0,4.0,closed_33,2,1,0.4117647058823529,75.0,2487,242424.00000000003,710.9000000000931,-0.008034997125311777
1.0,2.0,4.0,closed_33,5,0,0.9429065743944637,5250.0,5891,606060.0,706.5000000000921,0.41486956778348627
1.0,2.0,4.0,closed_33,5,1,0.8373702422145328,2050.0,6386,606060.0,720.7000000000953,0.3715006153159096
1.0,2.0,4.0,closed_33,10,0,1.0,4350.0,6888,572835.9156950288,321.20000000000454,0.5646508544036801
1.0,2.0,4.0,closed_33,10,1,1.0,8700.0,5970,515712.657912635,289.4999999999973,0.4844027111294324
1.0,2.0,4.0,closed_33,20,0,1.0,10950.0,5866,500114.1978935157,140.4999999999963,0.4697746114330157
1.0,2.0,4.0,closed_33,20,1,1.0,10150.0,3060,243094.82460243907,65.80000000000054,0.5224524933529435
1.0,5.0,1.5,open_33,2,0,0.9084287200832466,8475.0,3402,242424.00000000003,629.9000000000747,0.4194201702661092
1.0,5.0,1.5,open_33,2,1,0.886576482830385,1000.0,3348,242424.00000000003,626.7000000000739,0.49050218852716254
1.0,5.0,1.5,open_33,5,0,1.0,14200.0,3554,251990.1553953106,256.99999999998994,0.5264808102716668
1.0,5.0,1.5,open_33,5,1,0.9885535900104059,8825.0,9089,606060.0,654.0000000000801,0.46230071664893546
1.0,5.0,1.5,open_33,10,0,1.0,14475.0,3117,230091.98417115188,117.79999999999758,0.5625278780509612
1.0,5.0,1.5,open_33,10,1,1.0,13600.0,3383,243903.823373575,125.69999999999713,0.5674790676944736
1.0,5.0,1.5,open_33,20,0,1.0,17250.0,3496,246091.91609592922,63.50000000000063,0.5346211498573474
1.0,5.0,1.5,open_33,20,1,1.0,18175.0,3346,238074.28588515008,61.600000000000605,0.5258011772026557
1.0,5.0,1.5,partial_33,2,0,0.9937106918238994,3850.0,3270,242424.00000000003,645.4000000000782,0.5495274240687383
1.0,5.0,1.5,partial_33,2,1,0.5710691823899371,1075.0,3514,242424.00000000003,658.0000000000811,0.14472291962534653
1.0,5.0,1.5,partial_33,5,0,1.0,11250.0,4020,288702.5659748607,306.0000000000011,0.5109138758274681
1.0,5.0,1.5,partial_33,5,1,1.0,7225.0,7768,546471.9582419111,600.9000000000681,0.48855317078452465
1.0,5.0,1.5,partial_33,10,0,0.9660377358490566,9500.0,18054,1212120.0,689.4000000000882,0.3904380595703275
1.0,5.0,1.5,partial_33,10,1,0.949685534591195,8050.0,17726,1212120.0,708.4000000000925,0.3959874864966989
1.0,5.0,1.5,partial_33,20,0,1.0,13175.0,3853,281171.4682882014,74.90000000000002,0.5356913178265598
1.0,5.0,1.5,partial_33,20,1,1.0,15850.0,4409,307842.5025873296,81.29999999999966,0.4882425468617193
1.0,5.0,1.5,closed_33,2,0,0.4273356401384083,0.0,2485,242424.00000000003,706.7000000000921,0.010014182516804276
1.0,5.0,1.5,closed_33,2,1,0.6349480968858131,475.0,2484,242424.00000000003,714.3000000000939,0.2192600895077049
1.0,5.0,1.5,closed_33,5,0,0.9948096885813149,5850.0,6927,606060.0,707.8000000000924,0.45190582524142486
1.0,5.0,1.5,closed_33,5,1,0.9532871972318339,3650.0,5617,606060.0,713.9000000000938,0.45986381696952827
1.0,5.0,1.5,closed_33,10,0,1.0,7375.0,4089,379857.02053083014,212.29999999999222,0.538773961900932
1.0,5.0,1.5,closed_33,10,1,0.967128027681661,8275.0,13076,1212120.0,716.5000000000944,0.36318350520173126
1.0,5.0,1.5,closed_33,20,0,1.0,10250.0,3573,312378.4495088062,85.7999999999994,0.5103577306690172
1.0,5.0,1.5,closed_33,20,1,1.0,10075.0,2949,243274.4804824693,65.90000000000053,0.5254989259931244
1.0,5.0,2.5,open_33,2,0,0.890738813735692,9250.0,3460,242424.00000000003,627.8000000000742,0.39028922327694937
1.0,5.0,2.5,open_33,2,1,0.886576482830385,1000.0,3348,242424.00000000003,626.7000000000739,0.49050218852716254
1.0,5.0,2.5,open_33,5,0,1.0,11500.0,4121,289454.85204137885,300.6999999999999,0.5441424090459335
1.0,5.0,2.5,open_33,5,1,1.0,7875.0,5856,395584.1396327741,410.7000000000249,0.5496752819659502
1.0,5.0,2.5,open_33,10,0,1.0,14875.0,2863,210945.3427974733,108.5999999999981,0.5645105642771916
1.0,5.0,2.5,open_33,10,1,1.0,15625.0,3338,240394.80533262156,123.09999999999728,0.5433057699980415
1.0,5.0,2.5,open_33,20,0,1.0,17900.0,3025,216769.0055979509,55.900000000000524,0.5358951460721243
1.0,5.0,2.5,open_33,20,1,1.0,17675.0,2861,208819.64408461936,53.50000000000049,0.54228193198987
1.0,5.0,2.5,partial_33,2,0,0.9937106918238994,3625.0,3268,242424.00000000003,647.0000000000786,0.5529524205105633
1.0,5.0,2.5,partial_33,2,1,0.5962264150943396,775.0,3507,242424.00000000003,654.7000000000803,0.17580352586736678
