pitch,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.6,2.0,5.0,partial_33,5,0,0.3572327044025157,1150.0,10289,606060.0,675.0000000000849,-0.09651196899820577
1.6,2.0,5.0,partial_33,5,1,0.3333333333333333,1625.0,8949,606060.0,710.9000000000931,-0.1270112384808643
1.6,2.0,5.0,partial_33,10,0,0.5547169811320755,2300.0,20662,1212120.0,695.2000000000895,0.08182480637297493
1.6,2.0,5.0,partial_33,10,1,0.49433962264150944,2375.0,18505,1212120.0,694.0000000000892,0.02028487701714579
1.6,2.0,5.0,partial_33,20,0,0.7886792452830189,10375.0,35204,2424240.0,694.3000000000893,0.19288067141654455
1.6,2.0,5.0,partial_33,20,1,0.710691823899371,7750.0,34316,2424240.0,699.8000000000906,0.15412562641101937
1.6,2.0,5.0,closed_33,2,0,0.2041522491349481,0.0,1906,242424.00000000003,713.8000000000937,-0.22280207673242125
1.6,2.0,5.0,closed_33,2,1,0.1522491349480969,0.0,1318,242424.00000000003,734.8000000000985,-0.2734186380880972
1.6,2.0,5.0,closed_33,5,0,0.35294117647058826,300.0,4070,606060.0,727.4000000000968,-0.08341250269640002
1.6,2.0,5.0,closed_33,5,1,0.4186851211072664,225.0,7715,606060.0,734.8000000000985,-0.02130656188972671
1.6,2.0,5.0,closed_33,10,0,0.6833910034602076,3850.0,10163,1212120.0,729.8000000000974,0.1702394797810072
1.6,2.0,5.0,closed_33,10,1,0.5916955017301038,2275.0,12166,1212120.0,728.9000000000972,0.10822197361547123
1.6,2.0,5.0,closed_33,20,0,0.884083044982699,9825.0,24394,2424240.0,727.3000000000968,0.24181475226776786
1.6,2.0,5.0,closed_33,20,1,0.842560553633218,8900.0,24896,2424240.0,730.7000000000976,0.21909684350854483
1.6,2.0,10.0,open_33,2,0,0.07180020811654526,0.0,4694,242424.00000000003,635.2000000000759,-0.3682982359079958
1.6,2.0,10.0,open_33,2,1,0.043704474505723206,0.0,4644,242424.00000000003,635.2000000000759,-0.39805110950338196
1.6,2.0,10.0,open_33,5,0,0.13943808532778357,0.0,11835,606060.0,636.1000000000761,-0.3016476825354929
1.6,2.0,10.0,open_33,5,1,0.10822060353798127,0.0,11678,606060.0,635.2000000000759,-0.33357573362416815
1.6,2.0,10.0,open_33,10,0,0.4797086368366285,4825.0,23482,1212120.0,636.1000000000761,-0.019209328943151777
1.6,2.0,10.0,open_33,10,1,0.9708636836628513,22325.0,22999,1212120.0,635.4000000000759,0.25934276447545235
1.6,2.0,10.0,open_33,20,0,1.0,22950.0,32779,1694923.900757891,436.7000000000308,0.32097895442799285
1.6,2.0,10.0,open_33,20,1,1.0,23850.0,39409,2004519.9890128653,518.0000000000492,0.28989056327510326
1.6,2.0,10.0,partial_33,2,0,0.09685534591194969,0.0,4369,242424.00000000003,667.9000000000833,-0.34239341702102377
1.6,2.0,10.0,partial_33,2,1,0.25660377358490566,0.0,3802,242424.00000000003,667.0000000000831,-0.17256358648609896
1.6,2.0,10.0,partial_33,5,0,0.39622641509433965,3050.0,9894,606060.0,675.0000000000849,-0.08499922685064534
1.6,2.0,10.0,partial_33,5,1,0.2993710691823899,1475.0,9302,606060.0,710.9000000000931,-0.159853249475891
1.6,2.0,10.0,partial_33,10,0,0.6289308176100629,4025.0,18175,1212120.0,680.6000000000862,0.13176378469854252
1.6,2.0,10.0,partial_33,10,1,0.46540880503144655,2100.0,18685,1212120.0,692.900000000089,-0.004908509902098485
