block_size,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
3,4.0,10.0,closed_33,2,1,0.1903114186851211,0.0,1626,242424.00000000003,733.5000000000982,-0.23512380916946157
3,4.0,10.0,closed_33,5,0,0.6730103806228374,300.0,3002,606060.0,733.8000000000983,0.2567521894296718
3,4.0,10.0,closed_33,5,1,0.7162629757785467,500.0,2764,606060.0,733.4000000000982,0.3005190916307785
3,4.0,10.0,closed_33,10,0,1.0,3625.0,2032,257148.04433746077,143.79999999999612,0.6605337601112078
3,4.0,10.0,closed_33,10,1,0.7768166089965398,4925.0,4344,1212120.0,733.4000000000982,0.25822651385186
3,4.0,10.0,closed_33,20,0,1.0,9075.0,2658,380008.9399976749,107.99999999999814,0.5425341459530851
3,4.0,10.0,closed_33,20,1,0.972318339100346,8275.0,9946,2424240.0,732.8000000000981,0.3721195048550182
5,1.0,2.0,open_33,2,0,0.7169614984391259,1775.0,3488,242424.00000000003,629.8000000000746,0.29983791843816654
5,1.0,2.0,open_33,2,1,0.11758584807492195,0.0,3860,242424.00000000003,649.6000000000791,-0.318326001353162
5,1.0,2.0,open_33,5,0,0.8803329864724245,6725.0,9397,606060.0,643.0000000000776,0.37669141311387067
5,1.0,2.0,open_33,5,1,1.0,13275.0,5006,347487.74039452325,360.5000000000135,0.4997329139684915
5,1.0,2.0,open_33,10,0,1.0,15475.0,4364,304644.45331957843,157.29999999999535,0.5246011324674629
5,1.0,2.0,open_33,10,1,1.0,15050.0,6212,410547.6370027885,214.19999999999212,0.5033395054143736
5,1.0,2.0,open_33,20,0,1.0,17875.0,3268,232075.97963396832,59.90000000000058,0.5311392756369114
5,1.0,2.0,open_33,20,1,1.0,17025.0,3116,223945.55133159878,57.90000000000055,0.5447792733522365
