lane_spacing,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,2.5,2.0,open_33,2,0,0.5005202913631633,1425.0,4795,242424.00000000003,612.1000000000706,0.06563214765107142
1.0,2.5,2.0,open_33,2,1,0.9292403746097815,3350.0,4335,242424.00000000003,607.4000000000696,0.49420780984626744
1.0,2.5,2.0,open_33,5,0,0.3590010405827263,2725.0,13655,606060.0,626.3000000000739,-0.1120776018697455
1.0,2.5,2.0,open_33,5,1,0.36940686784599375,3150.0,13935,606060.0,625.4000000000736,-0.10691883948285283
1.0,2.5,2.0,open_33,10,0,1.0,16050.0,13276,631447.3302613244,318.900000000004,0.4445862708187502
1.0,2.5,2.0,open_33,10,1,0.7419354838709677,8100.0,26991,1212120.0,629.3000000000745,0.20406730515583424
1.0,2.5,2.0,open_33,20,0,1.0,18975.0,4124,245046.8050471726,61.4000000000006,0.505154758339027
1.0,2.5,2.0,open_33,20,1,1.0,18575.0,4094,247860.7594761122,62.00000000000061,0.5103183662308205
1.0,2.5,2.0,partial_33,2,0,0.26540880503144654,825.0,3218,242424.00000000003,677.5000000000855,-0.17302827712573668
1.0,2.5,2.0,partial_33,2,1,0.2968553459119497,475.0,2664,242424.00000000003,699.3000000000904,-0.13034511674980123
1.0,2.5,2.0,partial_33,5,0,0.5220125786163522,2900.0,8523,606060.0,698.9000000000904,0.047723839935300855
1.0,2.5,2.0,partial_33,5,1,0.7660377358490567,3050.0,8246,606060.0,705.0000000000917,0.2961879666227494
1.0,2.5,2.0,partial_33,10,0,0.9861635220125786,12375.0,18430,1212120.0,701.3000000000909,0.3671676989546625
1.0,2.5,2.0,partial_33,10,1,0.9823899371069182,10075.0,16484,1212120.0,695.8000000000897,0.3994408289574102
1.0,2.5,2.0,partial_33,20,0,1.0,18500.0,6536,423382.4403485842,111.19999999999796,0.4280612333906613
1.0,2.5,2.0,partial_33,20,1,1.0,16200.0,7029,438631.34737791074,114.89999999999775,0.45981968303115234
1.0,2.5,2.0,closed_33,2,0,0.25951557093425603,0.0,1826,242424.00000000003,726.4000000000966,-0.16215559415796169
1.0,2.5,2.0,closed_33,2,1,0.03806228373702422,0.0,1409,242424.00000000003,734.9000000000985,-0.4017700013782798
1.0,2.5,2.0,closed_33,5,0,0.12802768166089964,275.0,2599,606060.0,733.5000000000982,-0.3138208303721568
1.0,2.5,2.0,closed_33,5,1,0.3615916955017301,675.0,5860,606060.0,733.4000000000982,-0.08653539847311473
1.0,2.5,2.0,closed_33,10,0,0.527681660899654,2250.0,10323,1212120.0,733.4000000000982,0.04513374752219587
1.0,2.5,2.0,closed_33,10,1,0.5190311418685121,2475.0,8232,1212120.0,734.3000000000984,0.03375113758583595
1.0,2.5,2.0,closed_33,20,0,0.9065743944636678,7100.0,15644,2424240.0,734.5000000000985,0.32444801517933297
1.0,2.5,2.0,closed_33,20,1,0.7301038062283737,5250.0,13818,2424240.0,734.3000000000984,0.1855532714297439
1.0,2.5,5.0,open_33,2,0,0.44432882414151925,1250.0,4905,242424.00000000003,615.9000000000715,0.0083003949912209
1.0,2.5,5.0,open_33,2,1,1.0,6125.0,3945,240277.84727100967,597.4000000000673,0.5391162536067211
1.0,2.5,5.0,open_33,5,0,0.3392299687825182,2975.0,13476,606060.0,629.2000000000745,-0.13527734941636707
1.0,2.5,5.0,open_33,5,1,0.31633714880332986,1600.0,13793,606060.0,624.2000000000734,-0.14161702239901622
1.0,2.5,5.0,open_33,10,0,0.7242455775234131,7225.0,27253,1212120.0,628.8000000000744,0.1970533610016206
1.0,2.5,5.0,open_33,10,1,0.8002081165452654,8725.0,27440,1212120.0,628.2000000000743,0.2549929016413299
1.0,2.5,5.0,open_33,20,0,1.0,18200.0,7724,404818.7415674543,102.49999999999845,0.4818114225073642
1.0,2.5,5.0,open_33,20,1,1.0,19800.0,4926,287675.4912338825,72.60000000000015,0.4845891742716852
1.0,2.5,5.0,partial_33,2,0,0.2679245283018868,975.0,3097,242424.00000000003,683.2000000000868,-0.17193176132297153
1.0,2.5,5.0,partial_33,2,1,0.2968553459119497,475.0,2664,242424.00000000003,699.3000000000904,-0.13034511674980123
1.0,2.5,5.0,partial_33,5,0,0.5106918238993711,2875.0,7824,606060.0,690.5000000000884,0.03765066701310085
1.0,2.5,5.0,partial_33,5,1,0.7773584905660378,3175.0,7763,606060.0,704.8000000000917,0.30711098303865425
1.0,2.5,5.0,partial_33,10,0,1.0,13725.0,10637,669614.0044013642,359.3000000000132,0.4338969312782916
1.0,2.5,5.0,partial_33,10,1,1.0,14275.0,8552,614589.2907086781,333.60000000000736,0.43680587991449316
1.0,2.5,5.0,partial_33,20,0,1.0,16900.0,7013,453875.1870214767,119.99999999999746,0.44840783103620035
1.0,2.5,5.0,partial_33,20,1,0.9987421383647799,18600.0,31846,2424240.0,720.5000000000953,0.28084077105685035
1.0,2.5,5.0,closed_33,2,0,0.25951557093425603,0.0,1826,242424.00000000003,726.4000000000966,-0.16215559415796169
1.0,2.5,5.0,closed_33,2,1,0.03806228373702422,0.0,1409,242424.00000000003,734.9000000000985,-0.4017700013782798
1.0,2.5,5.0,closed_33,5,0,0.12802768166089964,250.0,2258,606060.0,733.7000000000983,-0.3120873486447685
1.0,2.5,5.0,closed_33,5,1,0.34429065743944637,675.0,5956,606060.0,734.0000000000983,-0.10446819647882724
1.0,2.5,5.0,closed_33,10,0,0.5294117647058824,2300.0,9875,1212120.0,733.6000000000982,0.046233251202069864
1.0,2.5,5.0,closed_33,10,1,0.4844290657439446,3850.0,8046,1212120.0,733.2000000000982,-0.029857296335423417
1.0,2.5,5.0,closed_33,20,0,0.916955017301038,7525.0,17873,2424240.0,733.3000000000982,0.32492209482335577
1.0,2.5,5.0,closed_33,20,1,0.8615916955017301,5625.0,12457,2424240.0,734.3000000000984,0.3118974710762761
1.0,2.5,10.0,open_33,2,0,0.3309053069719043,675.0,5324,242424.00000000003,615.3000000000713,-0.10505896000172796
1.0,2.5,10.0,open_33,2,1,1.0,5850.0,2897,200046.71319690422,497.20000000004455,0.5824843117289196
1.0,2.5,10.0,open_33,5,0,0.5858480749219563,6150.0,13659,606060.0,621.5000000000728,0.07648459208657973
1.0,2.5,10.0,open_33,5,1,0.6940686784599376,8000.0,13068,606060.0,624.5000000000734,0.16429691260119453
1.0,2.5,10.0,open_33,10,0,1.0,14500.0,20453,942664.3951532966,476.90000000003994,0.4200674744744557
1.0,2.5,10.0,open_33,10,1,0.7544224765868887,7900.0,27016,1212120.0,628.2000000000743,0.21917117035066805
1.0,2.5,10.0,open_33,20,0,1.0,19425.0,4636,276594.59048652695,70.20000000000029,0.4924694596889361
1.0,2.5,10.0,open_33,20,1,1.0,21150.0,4852,285156.78970529186,72.10000000000018,0.4685052287147169
1.0,2.5,10.0,partial_33,2,0,0.25534591194968553,1000.0,2842,242424.00000000003,686.6000000000876,-0.1841928721174004
1.0,2.5,10.0,partial_33,2,1,0.2968553459119497,475.0,2664,242424.00000000003,699.3000000000904,-0.13034511674980123
