attract_gain,drone_repel_gain,drone_repel_range,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,2.0,4.0,closed_33,10,1,0.8062283737024222,5975.0,13622,1212120.0,716.3000000000943,0.24765882536332842
1.0,2.0,4.0,closed_33,20,0,0.9896193771626297,11225.0,27604,2424240.0,725.8000000000965,0.31822023962740054
1.0,2.0,4.0,closed_33,20,1,1.0,10000.0,6039,523587.3464641436,147.7999999999959,0.4873956616177162
1.0,5.0,1.5,open_33,2,0,0.8626430801248699,1550.0,3345,242424.00000000003,652.0000000000797,0.4584269306554628
1.0,5.0,1.5,open_33,2,1,0.11238293444328824,0.0,3785,242424.00000000003,648.3000000000789,-0.32373887963896764
1.0,5.0,1.5,open_33,5,0,0.9001040582726326,4875.0,9253,606060.0,677.4000000000855,0.4204328854766387
1.0,5.0,1.5,open_33,5,1,0.28407908428720086,625.0,10013,606060.0,648.3000000000789,-0.16020745177910597
1.0,5.0,1.5,open_33,10,0,1.0,15750.0,5885,399103.7972172934,209.69999999999237,0.4978821302921662
1.0,5.0,1.5,open_33,10,1,1.0,15850.0,7334,484153.32924781204,253.59999999998988,0.47914204638998453
1.0,5.0,1.5,open_33,20,0,1.0,16800.0,3831,269908.4955470278,70.60000000000026,0.5342992297162634
1.0,5.0,1.5,open_33,20,1,1.0,17450.0,4071,279223.59692485956,72.90000000000013,0.5227582105544837
1.0,5.0,1.5,partial_33,2,0,0.3320754716981132,100.0,3692,242424.00000000003,668.8000000000835,-0.09385818426167933
1.0,5.0,1.5,partial_33,2,1,0.4540880503144654,450.0,3573,242424.00000000003,664.5000000000825,0.030380385373335067
1.0,5.0,1.5,partial_33,5,0,0.9987421383647799,9750.0,9025,606060.0,670.0000000000838,0.4313869721198985
1.0,5.0,1.5,partial_33,5,1,0.710691823899371,2875.0,9442,606060.0,673.5000000000846,0.23978929633952242
1.0,5.0,1.5,partial_33,10,0,1.0,13675.0,7868,532938.9953135296,289.7999999999974,0.457607156992129
1.0,5.0,1.5,partial_33,10,1,1.0,12625.0,13656,934848.9918615316,518.2000000000493,0.41453506082712577
1.0,5.0,1.5,partial_33,20,0,1.0,13500.0,3818,277872.56726597436,74.10000000000007,0.5313715372896366
1.0,5.0,1.5,partial_33,20,1,1.0,16450.0,4750,332236.31065032864,88.49999999999925,0.47491406884118254
1.0,5.0,1.5,closed_33,2,0,0.43771626297577854,0.0,2184,242424.00000000003,706.200000000092,0.024416668757021392
1.0,5.0,1.5,closed_33,2,1,0.4688581314878893,25.0,2311,242424.00000000003,714.5000000000939,0.05538187511149115
1.0,5.0,1.5,closed_33,5,0,0.7231833910034602,800.0,7281,606060.0,717.3000000000945,0.2784177796074815
1.0,5.0,1.5,closed_33,5,1,0.8754325259515571,3050.0,6347,606060.0,721.8000000000956,0.3898171650241943
1.0,5.0,1.5,closed_33,10,0,1.0,8125.0,5101,480367.5354072852,269.39999999999276,0.5046045683176507
1.0,5.0,1.5,closed_33,10,1,0.9740484429065744,6475.0,13561,1212120.0,708.4000000000925,0.407133301452255
1.0,5.0,1.5,closed_33,20,0,1.0,10500.0,7064,627155.4398703342,177.2999999999942,0.4673292666060752
1.0,5.0,1.5,closed_33,20,1,1.0,10675.0,4797,384717.0500721354,106.49999999999822,0.4877114203822125
1.0,5.0,2.5,open_33,2,0,0.813735691987513,2050.0,3379,242424.00000000003,632.9000000000754,0.4000735901971323
1.0,5.0,2.5,open_33,2,1,0.11238293444328824,0.0,3785,242424.00000000003,648.3000000000789,-0.32373887963896764
1.0,5.0,2.5,open_33,5,0,1.0,11475.0,8138,537671.134647723,563.3000000000595,0.46025147720954873
1.0,5.0,2.5,open_33,5,1,0.9729448491155047,7825.0,9349,606060.0,644.1000000000779,0.45806506589885065
1.0,5.0,2.5,open_33,10,0,1.0,16250.0,6188,409421.8596923696,214.19999999999212,0.48862419980287547
1.0,5.0,2.5,open_33,10,1,1.0,15950.0,4861,337760.7861317154,176.89999999999424,0.5101016645303561
1.0,5.0,2.5,open_33,20,0,1.0,16875.0,3289,235883.4480681992,61.90000000000061,0.5430625558676819
1.0,5.0,2.5,open_33,20,1,1.0,16025.0,2876,208955.6573104146,54.4000000000005,0.5625824803407032
1.0,5.0,2.5,partial_33,2,0,0.3320754716981132,100.0,3692,242424.00000000003,668.8000000000835,-0.09385818426167933
1.0,5.0,2.5,partial_33,2,1,0.49433962264150944,450.0,3472,242424.00000000003,664.0000000000824,0.07360725318058911
1.0,5.0,2.5,partial_33,5,0,1.0,9000.0,4784,334100.2599663271,355.7000000000124,0.5272732318455282
1.0,5.0,2.5,partial_33,5,1,0.7157232704402515,2575.0,9357,606060.0,674.5000000000848,0.24960816118944754
1.0,5.0,2.5,partial_33,10,0,1.0,8350.0,4346,306353.7633841811,163.79999999999498,0.583846823417788
1.0,5.0,2.5,partial_33,10,1,1.0,12425.0,3737,263404.7278710231,138.6999999999964,0.5336895076809207
1.0,5.0,2.5,partial_33,20,0,1.0,13175.0,3348,241815.00725399936,63.80000000000064,0.5442908973302721
1.0,5.0,2.5,partial_33,20,1,1.0,11750.0,2901,214404.51321164193,57.10000000000054,0.5743957818593745
1.0,5.0,2.5,closed_33,2,0,0.43771626297577854,0.0,2184,242424.00000000003,706.200000000092,0.024416668757021392
1.0,5.0,2.5,closed_33,2,1,0.4688581314878893,25.0,2311,242424.00000000003,714.5000000000939,0.05538187511149115
1.0,5.0,2.5,closed_33,5,0,0.7906574394463668,1450.0,6500,606060.0,717.0000000000945,0.3358159589331001
