T_initial,cooling_rate,perturb_radius,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0.5,0.99,3.0,closed_33,5,1,0.8633217993079585,4525.0,6655,606060.0,689.3000000000882,0.34585807462926077
0.5,0.99,3.0,closed_33,10,0,0.7664359861591695,5050.0,9801,1212120.0,727.4000000000968,0.23012069892921064
0.5,0.99,3.0,closed_33,10,1,1.0,11725.0,12055,1180657.6034885857,672.4000000000843,0.32960517851607535
0.5,0.99,3.0,closed_33,20,0,1.0,12000.0,4321,364867.55138241174,99.59999999999862,0.46451998379358667
0.5,0.99,3.0,closed_33,20,1,1.0,10925.0,2862,252223.68761504302,68.1000000000004,0.5085620246655737
0.5,0.99,6.0,open_33,2,0,0.9906347554630593,15800.0,3580,242424.00000000003,599.9000000000678,0.41191436097025946
0.5,0.99,6.0,open_33,2,1,0.9885535900104059,17975.0,3620,242424.00000000003,598.2000000000675,0.382018690009318
0.5,0.99,6.0,open_33,5,0,1.0,21650.0,4433,288563.4499748328,285.59999999999644,0.41433052587735497
0.5,0.99,6.0,open_33,5,1,1.0,21600.0,4125,270434.1326586538,268.1999999999925,0.42251244229456475
0.5,0.99,6.0,open_33,10,0,1.0,22675.0,5137,316674.43714911956,157.29999999999535,0.4263981613345032
0.5,0.99,6.0,open_33,10,1,1.0,22225.0,4825,310238.92762799794,152.8999999999956,0.4353335800715019
0.5,0.99,6.0,open_33,20,0,1.0,22225.0,4273,270800.88340663444,66.80000000000048,0.46142350658991615
0.5,0.99,6.0,open_33,20,1,1.0,22750.0,5693,343473.7373720631,85.29999999999943,0.4387829069740153
0.5,0.99,6.0,partial_33,2,0,0.3635220125786163,0.0,3464,242424.00000000003,674.3000000000848,-0.0578209130808561
0.5,0.99,6.0,partial_33,2,1,0.4339622641509434,150.0,3597,242424.00000000003,666.300000000083,0.013509376525659839
0.5,0.99,6.0,partial_33,5,0,0.979874213836478,16000.0,9112,606060.0,664.2000000000825,0.31754787561781916
0.5,0.99,6.0,partial_33,5,1,0.9283018867924528,9400.0,8848,606060.0,672.4000000000843,0.36506683182716226
0.5,0.99,6.0,partial_33,10,0,1.0,18300.0,5963,389608.18722964847,200.89999999999287,0.4126367358619344
0.5,0.99,6.0,partial_33,10,1,0.9459119496855346,14000.0,17677,1212120.0,684.4000000000871,0.30238832630141654
0.5,0.99,6.0,partial_33,20,0,0.989937106918239,18675.0,34164,2424240.0,691.4000000000887,0.27036104154681495
0.5,0.99,6.0,partial_33,20,1,1.0,18700.0,7736,494661.9190555704,128.199999999997,0.41621907677735637
0.5,0.99,6.0,closed_33,2,0,0.41522491349480967,0.0,2474,242424.00000000003,702.4000000000912,-0.002690422622442429
0.5,0.99,6.0,closed_33,2,1,0.28719723183391005,0.0,2171,242424.00000000003,705.8000000000919,-0.13593784162208764
0.5,0.99,6.0,closed_33,5,0,0.8494809688581315,4300.0,4154,606060.0,713.8000000000937,0.3474746857733363
0.5,0.99,6.0,closed_33,5,1,0.6055363321799307,3525.0,4511,606060.0,724.2000000000961,0.10950899045759702
0.5,0.99,6.0,closed_33,10,0,0.8944636678200693,6450.0,9907,1212120.0,725.4000000000964,0.33098831386948124
0.5,0.99,6.0,closed_33,10,1,0.8598615916955017,6125.0,9424,1212120.0,724.2000000000961,0.3032832444361203
0.5,0.99,6.0,closed_33,20,0,0.9515570934256056,10625.0,19648,2424240.0,727.8000000000969,0.2946935393430491
