elite_fraction,p_crossover,p_mutation,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0.2,0.1,0.05,closed_33,5,1,0.972318339100346,7100.0,6648,606060.0,699.6000000000905,0.4038532389921511
0.2,0.1,0.05,closed_33,10,0,1.0,12500.0,6050,503441.7743436622,273.79999999999376,0.40665262904378846
0.2,0.1,0.05,closed_33,10,1,0.986159169550173,10875.0,13260,1212120.0,709.1000000000927,0.32830060355561563
0.2,0.1,0.05,closed_33,20,0,1.0,11850.0,4694,391706.1541763246,105.89999999999826,0.4635308006129722
0.2,0.1,0.05,closed_33,20,1,1.0,12425.0,5763,457276.7045057649,123.39999999999726,0.44214126943913823
0.2,0.1,0.15,open_33,2,0,1.0,15275.0,2542,184736.9789080816,462.50000000003666,0.48148951121476824
0.2,0.1,0.15,open_33,2,1,1.0,15850.0,2720,193662.0493082054,484.40000000004164,0.46501185407721934
0.2,0.1,0.15,open_33,5,0,1.0,20075.0,3180,218578.54876553023,219.8999999999918,0.466849879536307
0.2,0.1,0.15,open_33,5,1,1.0,21025.0,3256,223223.77167233126,224.19999999999155,0.4526253964284021
0.2,0.1,0.15,open_33,10,0,1.0,21100.0,4572,291722.5379630483,146.59999999999596,0.4538663650168546
0.2,0.1,0.15,open_33,10,1,1.0,21650.0,3928,263199.4807761838,132.39999999999677,0.4572610858814913
0.2,0.1,0.15,open_33,20,0,1.0,22650.0,4407,279628.2363275904,70.30000000000028,0.45421556941090874
0.2,0.1,0.15,open_33,20,1,1.0,22300.0,3965,259668.5640030331,65.40000000000056,0.4645943159339755
0.2,0.1,0.15,partial_33,2,0,0.4628930817610063,1400.0,3547,242424.00000000003,662.100000000082,0.025515795561338844
0.2,0.1,0.15,partial_33,2,1,0.8075471698113208,2800.0,3311,242424.00000000003,650.9000000000794,0.369561063672152
0.2,0.1,0.15,partial_33,5,0,1.0,15250.0,6447,442731.62546382955,473.1000000000391,0.39722640263447373
0.2,0.1,0.15,partial_33,5,1,1.0,16575.0,3948,274637.05808458687,285.3999999999964,0.4346407197703508
0.2,0.1,0.15,partial_33,10,0,1.0,15400.0,4008,281696.8288431219,146.29999999999598,0.4836347288481662
0.2,0.1,0.15,partial_33,10,1,1.0,17750.0,5047,344041.87965228315,179.2999999999941,0.4319021666188406
0.2,0.1,0.15,partial_33,20,0,1.0,17350.0,4392,301397.49868888967,78.39999999999982,0.46613525741269085
0.2,0.1,0.15,partial_33,20,1,1.0,18450.0,4840,325600.3124639662,84.29999999999949,0.444433818600267
0.2,0.1,0.15,closed_33,2,0,0.8979238754325259,5525.0,2717,242424.00000000003,670.800000000084,0.3868885053718524
0.2,0.1,0.15,closed_33,2,1,0.5743944636678201,2725.0,2637,242424.00000000003,664.4000000000825,0.10692227346297487
0.2,0.1,0.15,closed_33,5,0,0.9948096885813149,8100.0,7492,606060.0,687.2000000000877,0.4035825680799886
0.2,0.1,0.15,closed_33,5,1,1.0,10500.0,6026,589428.4815812041,655.5000000000805,0.3677831392098656
0.2,0.1,0.15,closed_33,10,0,1.0,10275.0,4137,367771.9768713019,200.99999999999287,0.47962824231200346
0.2,0.1,0.15,closed_33,10,1,1.0,10200.0,9236,861851.8328096868,485.2000000000418,0.40319981797857907
0.2,0.1,0.15,closed_33,20,0,1.0,12000.0,5135,411313.8597806301,111.29999999999795,0.45670940574527097
0.2,0.1,0.15,closed_33,20,1,1.0,12375.0,4423,345060.18491645576,92.69999999999901,0.4571927935842137
0.2,0.1,0.3,open_33,2,0,1.0,17175.0,3292,225107.59953750094,565.60000000006,0.41919659874328397
0.2,0.1,0.3,open_33,2,1,1.0,17500.0,3035,214814.62088900903,539.000000000054,0.42563093501165694
0.2,0.1,0.3,open_33,5,0,1.0,18425.0,2770,198789.9166175751,201.09999999999286,0.4998203573491502
0.2,0.1,0.3,open_33,5,1,1.0,20550.0,3365,232981.97025672474,236.59999999999084,0.45450842520668056
0.2,0.1,0.3,open_33,10,0,1.0,20975.0,3444,239455.1823678834,120.9999999999974,0.47499857749263424
0.2,0.1,0.3,open_33,10,1,1.0,20950.0,3617,247907.93117948272,126.49999999999709,0.47183020955637645
0.2,0.1,0.3,open_33,20,0,1.0,20800.0,2992,209802.7309789909,53.30000000000049,0.5007017433713262
0.2,0.1,0.3,open_33,20,1,1.0,21575.0,3341,228642.27469250886,58.30000000000056,0.4839851913651626
0.2,0.1,0.3,partial_33,2,0,0.9056603773584906,5425.0,3278,242424.00000000003,652.3000000000798,0.43335615396796934
0.2,0.1,0.3,partial_33,2,1,0.9547169811320755,7750.0,3242,242424.00000000003,649.000000000079,0.4502021769190826
0.2,0.1,0.3,partial_33,5,0,1.0,13675.0,8023,551569.9927833154,592.9000000000663,0.3891742086776785
