a_initial,a_final,decay_steps,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
2.0,0.5,1500,closed_33,20,1,0.5207612456747405,4375.0,7027,2424240.0,732.9000000000981,-0.002191050343418516
2.0,0.5,3000,open_33,2,0,1.0,19100.0,3036,219404.22113119147,565.0000000000599,0.40289905679604676
2.0,0.5,3000,open_33,2,1,1.0,18325.0,2857,213371.87438583517,549.5000000000564,0.4195523947982538
2.0,0.5,3000,open_33,5,0,1.0,22350.0,4652,304304.5920078866,308.90000000000174,0.3997526200473646
2.0,0.5,3000,open_33,5,1,1.0,22275.0,4610,307854.6279453287,312.6000000000026,0.4002302788462057
2.0,0.5,3000,open_33,10,0,1.0,22725.0,7482,460373.1023012942,232.69999999999106,0.395518537989941
2.0,0.5,3000,open_33,10,1,1.0,22425.0,7242,445753.72793227783,224.8999999999915,0.40200582772484234
2.0,0.5,3000,open_33,20,0,1.0,23225.0,12998,761238.2550046765,190.39999999999347,0.3852857780514878
2.0,0.5,3000,open_33,20,1,1.0,23225.0,10825,651071.54856828,163.19999999999501,0.3956577674599114
2.0,0.5,3000,partial_33,2,0,0.9735849056603774,14150.0,2964,242424.00000000003,651.4000000000796,0.3776743356518637
2.0,0.5,3000,partial_33,2,1,0.9823899371069182,13225.0,2855,242424.00000000003,652.4000000000798,0.40276179504742926
2.0,0.5,3000,partial_33,5,0,0.9823899371069182,16050.0,6930,606060.0,678.0000000000856,0.3260665057704327
2.0,0.5,3000,partial_33,5,1,0.9987421383647799,16100.0,5648,606060.0,683.0000000000867,0.34825492037643424
2.0,0.5,3000,partial_33,10,0,1.0,19025.0,8311,683765.0621039597,362.900000000014,0.3575396260364636
2.0,0.5,3000,partial_33,10,1,0.8415094339622642,14850.0,14150,1212120.0,674.1000000000847,0.1864574701043182
2.0,0.5,3000,partial_33,20,0,1.0,19050.0,12700,995019.8283292837,262.29999999999114,0.3708393850982542
2.0,0.5,3000,partial_33,20,1,1.0,19500.0,10130,768729.9692747751,200.4999999999929,0.38168750116788946
